schid,school_name,REV_Subreg,REV_Region,search_term,hand_code_city
A9500035,Victory Christian Academy,Baldwin County,Alabama,"Victory Christian Academy, Baldwin County, Alabama"
010237000572,Allentown Elementary School,Mobile County,Alabama,"Allentown Elementary School, Mobile County, Alabama"
010237001560,Semmes Elementary School,Mobile County,Alabama,"Semmes Elementary School, Mobile County, Alabama"
010237001619,Meadowlake Elementary,Mobile County,Alabama,"Meadowlake Elementary, Mobile County, Alabama"
010237001813,Orourke Elementary School,Mobile County,Alabama,"Orourke Elementary School, Mobile County, Alabama"
A1392001,Grace Baptist Academy,Mobile County,Alabama,"Grace Baptist Academy, Mobile County, Alabama"
010237000955,Semmes Middle School,Mobile County,Alabama,"Semmes Middle School, Mobile County, Alabama"
010237001435,Bernice J Causey Middle School,Mobile County,Alabama,"Bernice J Causey Middle School, Mobile County, Alabama"
010279001113,Goshen Elementary School,,Alabama,"Goshen Elementary School, , Alabama"
010318001215,Talladega County Central High,Talladega County,Alabama,"Talladega County Central High, Talladega County, Alabama"
A0992003,Logos Christian Academy,Pinal County,Arizona,"Logos Christian Academy, Pinal County, Arizona"
040286001364,Sturgeon Cromer Elementary School,Coconino County,Arizona,"Sturgeon Cromer Elementary School, Coconino County, Arizona"
040598000494,Le Pera Elementary School,,Arizona,"Le Pera Elementary School, , Arizona"
A0300086,Friendship Christian Academy,Lee County,Arkansas,"Friendship Christian Academy, Lee County, Arkansas"
060006810542,Liberty High,Madera County,California,"Liberty High, Madera County, California"
060330000250,Creston Elementary,San Luis Obispo County,California,"Creston Elementary, San Luis Obispo County, California"
A9700699,Valley Schools,Kern County,California,"Valley Schools, Kern County, California"
060797010786,James K. Polk Elementary,Fresno County,California,"James K. Polk Elementary, Fresno County, California"
060797011948,Harvest Elementary,Fresno County,California,"Harvest Elementary, Fresno County, California"
061077001195,Margaret Keating Elementary,,California,"Margaret Keating Elementary, , California"
A1700548,Timothy Murphy School,Marin County,California,"Timothy Murphy School, Marin County, California"
061149011703,Barrett Ranch Elementary,Sacramento County,California,"Barrett Ranch Elementary, Sacramento County, California"
061350001543,Mary Fay Pendleton Elementary,San Diego County,California,"Mary Fay Pendleton Elementary, San Diego County, California"
061392010612,Ted Porter Elementary,San Bernardino County,California,"Ted Porter Elementary, San Bernardino County, California"
061455014077,Wawona K-8,Fresno County,California,"Wawona K-8, Fresno County, California"
061524001944,Rosemont Middle,Los Angeles County,California,"Rosemont Middle, Los Angeles County, California"
069103711800,Chrysalis Charter,Shasta County,California,"Chrysalis Charter, Shasta County, California"
A9300102,Redding Christian School,Shasta County,California,"Redding Christian School, Shasta County, California"
061995002389,Hoopa Valley Elementary,,California,"Hoopa Valley Elementary, , California"
062394009577,Yosemite Park High,Mariposa County,California,"Yosemite Park High, Mariposa County, California"
062825004366,North Terrace Elementary,San Diego County,California,"North Terrace Elementary, San Diego County, California"
062927004521,Rio Mesa High,Ventura County,California,"Rio Mesa High, Ventura County, California"
063417005347,Barton Elementary,San Bernardino County,California,"Barton Elementary, San Bernardino County, California"
063417010303,E. Neal Roberts Elementary,San Bernardino County,California,"E. Neal Roberts Elementary, San Bernardino County, California"
063417009435,Del Vallejo Middle,San Bernardino County,California,"Del Vallejo Middle, San Bernardino County, California"
063486005884,Carver Elementary,Los Angeles County,California,"Carver Elementary, Los Angeles County, California"
080387002000,Rocky Mountain Classical Academy,El Paso County,Colorado,"Rocky Mountain Classical Academy, El Paso County, Colorado"
00209691,Mile High Baptist School,Jefferson County,Colorado,"Mile High Baptist School, Jefferson County, Colorado"
080480000805,Wilmot Elementary School,Jefferson County,Colorado,"Wilmot Elementary School, Jefferson County, Colorado"
080480000913,Bradford K8 North,Jefferson County,Colorado,"Bradford K8 North, Jefferson County, Colorado"
080480001372,Kendallvue Elementary School,Jefferson County,Colorado,"Kendallvue Elementary School, Jefferson County, Colorado"
080480000742,Ken Caryl Middle School,Jefferson County,Colorado,"Ken Caryl Middle School, Jefferson County, Colorado"
080582006369,Palmer Ridge High School,El Paso County,Colorado,"Palmer Ridge High School, El Paso County, Colorado"
A9302537,Community Child Guidance Clinic,Hartford County,Connecticut,"Community Child Guidance Clinic, Hartford County, Connecticut"
090513001075,Miller-Driscoll School,Fairfield County,Connecticut,"Miller-Driscoll School, Fairfield County, Connecticut"
100018000071,F. Niel Postlethwait Middle School,Kent County,Delaware,"F. Niel Postlethwait Middle School, Kent County, Delaware"
