distName,clean_name,skipped,condition1,condition2,condition3,condition4,condition5
EAST POINSETT CO. SCHOOL DIST.,EAST POINSETT CO. School District,,ends with 'SCHOOL DIST.'
CLEVELAND COUNTY SCHOOL DIST.,CLEVELAND COUNTY School District,,ends with 'SCHOOL DIST.'
CAMDEN FAIRVIEW SCHOOL DIST.,CAMDEN FAIRVIEW School District,,ends with 'SCHOOL DIST.'
HELENA/ W.HELENA SCHOOL DIST.,HELENA/ W.HELENA School District,,ends with 'SCHOOL DIST.'
PULASKI CO. SPEC. SCHOOL DIST.,PULASKI CO. SPEC. School District,,ends with 'SCHOOL DIST.'
GREENE CO. TECH SCHOOL DIST.,GREENE CO. TECH School District,,ends with 'SCHOOL DIST.'
Monroe ISD,Monroe Independent School District,,ends with 'ISD'
Washtenaw ISD,Washtenaw Independent School District,,ends with 'ISD'
UNITED SOUTH CENTRAL SCHOOL DIST.,UNITED SOUTH CENTRAL School District,,ends with 'SCHOOL DIST.'
MURRAY COUNTY CENTRAL SCHOOL DIST.,MURRAY COUNTY CENTRAL School District,,ends with 'SCHOOL DIST.'
LAC QUI PARLE VALLEY SCHOOL DIST.,LAC QUI PARLE VALLEY School District,,ends with 'SCHOOL DIST.'
JACKSON COUNTY CENTRAL SCHOOL DIST.,JACKSON COUNTY CENTRAL School District,,ends with 'SCHOOL DIST.'
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANOKA-HENNEPIN PUBLIC School District,,ends with 'SCHOOL DIST.'
DETROIT LAKES PUBLIC SCHOOL DIST.,DETROIT LAKES PUBLIC School District,,ends with 'SCHOOL DIST.'
LEWISTON-ALTURA PUBLIC SCHOOL DIST.,LEWISTON-ALTURA PUBLIC School District,,ends with 'SCHOOL DIST.'
SOUTH ST. PAUL PUBLIC SCHOOL DIST.,SOUTH ST. PAUL PUBLIC School District,,ends with 'SCHOOL DIST.'
ST. LOUIS PARK PUBLIC SCHOOL DIST.,ST. LOUIS PARK PUBLIC School District,,ends with 'SCHOOL DIST.'
STILLWATER AREA PUBLIC SCHOOL DIST.,STILLWATER AREA PUBLIC School District,,ends with 'SCHOOL DIST.'
WABASHA-KELLOGG PUBLIC SCHOOL DIST.,WABASHA-KELLOGG PUBLIC School District,,ends with 'SCHOOL DIST.'
SARATOGA SPRINGS CITY SD,SARATOGA SPRINGS CITY School District,,ends with 'SD'
Medina City SD,Medina City School District,,ends with 'SD'
Crook County SD,Crook County School District,,ends with 'SD'
Hood River County SD,Hood River County School District,,ends with 'SD'
Three Rivers/Josephine County SD,Three Rivers/Josephine County School District,,ends with 'SD'
Klamath County SD,Klamath County School District,,ends with 'SD'
Lincoln County SD,Lincoln County School District,,ends with 'SD'
Central Valley SD,Central Valley School District,,ends with 'SD'
Abington Heights SD,Abington Heights School District,,ends with 'SD'
Abington SD,Abington School District,,ends with 'SD'
Aliquippa SD,Aliquippa School District,,ends with 'SD'
Allentown City SD,Allentown City School District,,ends with 'SD'
Altoona Area SD,Altoona Area School District,,ends with 'SD'
Wissahickon SD,Wissahickon School District,,ends with 'SD'
Ambridge Area SD,Ambridge Area School District,,ends with 'SD'
Antietam SD,Antietam School District,,ends with 'SD'
Annville-Cleona SD,Annville-Cleona School District,,ends with 'SD'
Avon Grove SD,Avon Grove School District,,ends with 'SD'
Avonworth SD,Avonworth School District,,ends with 'SD'
Pine-Richland SD,Pine-Richland School District,,ends with 'SD'
Bangor Area SD,Bangor Area School District,,ends with 'SD'
Belle Vernon Area SD,Belle Vernon Area School District,,ends with 'SD'
Bensalem Township SD,Bensalem Township School District,,ends with 'SD'
Bermudian Springs SD,Bermudian Springs School District,,ends with 'SD'
Berwick Area SD,Berwick Area School District,,ends with 'SD'
Bethlehem Area SD,Bethlehem Area School District,,ends with 'SD'
Big Beaver Falls Area SD,Big Beaver Falls Area School District,,ends with 'SD'
Blairsville-Saltsburg SD,Blairsville-Saltsburg School District,,ends with 'SD'
Bloomsburg Area SD,Bloomsburg Area School District,,ends with 'SD'
Boyertown Area SD,Boyertown Area School District,,ends with 'SD'
Brandywine Heights Area SD,Brandywine Heights Area School District,,ends with 'SD'
Brentwood Borough SD,Brentwood Borough School District,,ends with 'SD'
Bristol Borough SD,Bristol Borough School District,,ends with 'SD'
Bristol Township SD,Bristol Township School District,,ends with 'SD'
California Area SD,California Area School District,,ends with 'SD'
