schid,school_nam,REV_Subreg,REV_Region,search_term,hand_code_city
A9500035,Victory Christian Academy,Baldwin County,Alabama,"Victory Christian Academy, Baldwin County, Alabama",Foley
10237000572,Allentown Elementary School,Mobile County,Alabama,"Allentown Elementary School, Mobile County, Alabama",Semmes
10237001560,Semmes Elementary School,Mobile County,Alabama,"Semmes Elementary School, Mobile County, Alabama",Semmes
10237001619,Meadowlake Elementary,Mobile County,Alabama,"Meadowlake Elementary, Mobile County, Alabama",Mobile
10237001813,Orourke Elementary School,Mobile County,Alabama,"Orourke Elementary School, Mobile County, Alabama",Mobile
A1392001,Grace Baptist Academy,Mobile County,Alabama,"Grace Baptist Academy, Mobile County, Alabama",Semmes
10237000955,Semmes Middle School,Mobile County,Alabama,"Semmes Middle School, Mobile County, Alabama",Semmes
10237001435,Bernice J Causey Middle School,Mobile County,Alabama,"Bernice J Causey Middle School, Mobile County, Alabama",Mobile
10279001113,Goshen Elementary School,,Alabama,"Goshen Elementary School, , Alabama",Goshen
10318001215,Talladega County Central High,Talladega County,Alabama,"Talladega County Central High, Talladega County, Alabama",Talladega
A0992003,Logos Christian Academy,Pinal County,Arizona,"Logos Christian Academy, Pinal County, Arizona",Casa Grande
40286001364,Sturgeon Cromer Elementary School,Coconino County,Arizona,"Sturgeon Cromer Elementary School, Coconino County, Arizona",Flagstaff
40598000494,Le Pera Elementary School,,Arizona,"Le Pera Elementary School, , Arizona",Parker
A0300086,Friendship Christian Academy,Lee County,Arkansas,"Friendship Christian Academy, Lee County, Arkansas",Marianna
60006810542,Liberty High,Madera County,California,"Liberty High, Madera County, California",Madera
60330000250,Creston Elementary,San Luis Obispo County,California,"Creston Elementary, San Luis Obispo County, California",Creston
A9700699,Valley Schools,Kern County,California,"Valley Schools, Kern County, California",Bakersfield
60797010786,James K. Polk Elementary,Fresno County,California,"James K. Polk Elementary, Fresno County, California",Fresno
60797011948,Harvest Elementary,Fresno County,California,"Harvest Elementary, Fresno County, California",Fresno
61077001195,Margaret Keating Elementary,,California,"Margaret Keating Elementary, , California",Klamath
A1700548,Timothy Murphy School,Marin County,California,"Timothy Murphy School, Marin County, California",San Rafael
61149011703,Barrett Ranch Elementary,Sacramento County,California,"Barrett Ranch Elementary, Sacramento County, California",Antelope
61350001543,Mary Fay Pendleton Elementary,San Diego County,California,"Mary Fay Pendleton Elementary, San Diego County, California",Oceanside
61392010612,Ted Porter Elementary,San Bernardino County,California,"Ted Porter Elementary, San Bernardino County, California",Fontana
61455014077,Wawona K-8,Fresno County,California,"Wawona K-8, Fresno County, California",Fresno
61524001944,Rosemont Middle,Los Angeles County,California,"Rosemont Middle, Los Angeles County, California",La Crescenta-Montrose
69103711800,Chrysalis Charter,Shasta County,California,"Chrysalis Charter, Shasta County, California",Palo Cedro
A9300102,Redding Christian School,Shasta County,California,"Redding Christian School, Shasta County, California",Palo Cedro
61995002389,Hoopa Valley Elementary,,California,"Hoopa Valley Elementary, , California",Hoopa
62394009577,Yosemite Park High,Mariposa County,California,"Yosemite Park High, Mariposa County, California",El Portal
62825004366,North Terrace Elementary,San Diego County,California,"North Terrace Elementary, San Diego County, California",Oceanside
62927004521,Rio Mesa High,Ventura County,California,"Rio Mesa High, Ventura County, California",Oxnard
63417005347,Barton Elementary,San Bernardino County,California,"Barton Elementary, San Bernardino County, California",San Bernardino
63417010303,E. Neal Roberts Elementary,San Bernardino County,California,"E. Neal Roberts Elementary, San Bernardino County, California",San Bernardino
63417009435,Del Vallejo Middle,San Bernardino County,California,"Del Vallejo Middle, San Bernardino County, California",San Bernardino
63486005884,Carver Elementary,Los Angeles County,California,"Carver Elementary, Los Angeles County, California",Los Angeles
80387002000,Rocky Mountain Classical Academy,El Paso County,Colorado,"Rocky Mountain Classical Academy, El Paso County, Colorado",Colorado Springs
209691,Mile High Baptist School,Jefferson County,Colorado,"Mile High Baptist School, Jefferson County, Colorado",Denver
80480000805,Wilmot Elementary School,Jefferson County,Colorado,"Wilmot Elementary School, Jefferson County, Colorado",Evergreen
80480000913,Bradford K8 North,Jefferson County,Colorado,"Bradford K8 North, Jefferson County, Colorado",Littleton
80480001372,Kendallvue Elementary School,Jefferson County,Colorado,"Kendallvue Elementary School, Jefferson County, Colorado",Morrison
